drug_name,ndc,form,strength,mfg,acq,awp,pf,dispensed,p._update,rxcui,epc_class,drug_class
NYSTAT/TRIAM CRE,68462-0314-65,CREA,,GLENMARK,7.18,227.3,,12/6/2022 0:00,12/10/2021,1053753,Corticosteroid [EPC],Steroids
CLOBETASOL   GEL 0.05%,51672-1294-03,GEL,0.05%,TARO ,11.11,555.86,,11/23/2024 0:00,8/29/2024,861434,Corticosteroid [EPC],High Potency Topical Steroid
CLOBETASOL   AER 0.05%,00378-8055-50,FOAM,0.05%,MYLAN,99,350.76,,4/6/2021 0:00,3/15/2021,1992273,expired,Scalp (topical steroids)
PERMETHRIN   CRE 5%,16714-0897-01,CREA,5%,NORTHSTAR,9.49,121.2,,11/23/2024 0:00,8/29/2024,106387,Pyrethroid [EPC],Scabies
CLINDAMYCIN  SOL 1%,45802-0562-02,SOLN,1%,PERRIGO,7.17,57.88,,11/20/2024 0:00,7/25/2023,309333,Lincosamide Antibacterial [EPC],Acne Topical ABX
CLINDAMYCIN  SOL 1%,45802-0562-02,SOLN,1%,PERRIGO,7.17,57.88,,11/20/2024 0:00,7/25/2023,309333,Lincosamide Antibacterial [EPC],Acne Topical ABX
CLINDAMYCIN  SOL 1%,45802-0562-02,SOLN,1%,PERRIGO,7.17,57.88,,11/20/2024 0:00,7/25/2023,309333,Lincosamide Antibacterial [EPC],Acne Topical ABX
TRIAMCINOLON CRE 0.1%,45802-0064-36,CREA,0.10%,PERRIGO,2.69,9.48,,11/20/2024 0:00,8/29/2024,1014314,Corticosteroid [EPC],Low Potency Topical Steroid
CLINDAM/BENZ GEL 1.2-2.5%,68682-0132-50,GEL,1.2-2.5%,OCEANSIDE,26,569.08,,1/12/2024 0:00,3/4/2021,885131,Lincosamide Antibacterial [EPC],Acne Topical ABX
CLINDAM/BENZ GEL 1.2-2.5%,68682-0132-50,GEL,1.2-2.5%,OCEANSIDE,26,569.08,,1/12/2024 0:00,3/4/2021,885131,Lincosamide Antibacterial [EPC],Acne Topical ABX
CLINDAM/BENZ GEL 1.2-2.5%,68682-0132-50,GEL,1.2-2.5%,OCEANSIDE,26,569.08,,1/12/2024 0:00,3/4/2021,885131,Lincosamide Antibacterial [EPC],Acne Topical ABX
CRYSELLE-28  TAB 28 TABS,00555-9049-58,TABS,28 TABS,TEVA USA,0,183.12,,9/2/2021 0:00,3/4/2021,750265,unknown,Contraceptive
TACROLIMUS   OIN 0.03%,16729-0421-10,OINT,0.03%,ACCORD HEA,20.75,289.41,,10/31/2024 0:00,8/29/2024,313189,Calcineurin Inhibitor Immunosuppressant [EPC],Non-Ster Anti-Inflam
DESOXIMETAS  OIN 0.05%,52565-0045-60,OINT,0.05%,TELIGENT,0,367.18,,10/29/2021 0:00,3/4/2021,141850,expired,Medium Potency Topical Steroid
TRETINOIN    CRE 0.1%,51672-1395-09,CREA,0.10%,TARO ,56,246.2,,1/26/2023 0:00,11/9/2023,198300,Retinoid [EPC],Retinoids: Exfoliant
ERY/BENZOYL  GEL 5-3%,00781-7094-59,GEL,5-3%,SANDOZ,63,414.79,,4/14/2021 0:00,3/15/2021,244374,expired,Acne Topical ABX
PREDNISONE   TAB 20MG,59746-0175-06,TABS,20MG,CADISTA,5.99,150.14,,6/15/2023 0:00,5/19/2023,312615,Corticosteroid [EPC],Anti-inflammatory
PROTYL AG    GEL,71740-0010-42,GEL,,AVONDALE,0,1492.75,,0:00:00,3/4/2021,2120904,expired,Non-Ster Anti-Inflam
FLUOROURACIL CRE 5%,51862-0362-40,CREA,5%,MAYNE PHAR,0,257.39,,8/16/2021 0:00,3/4/2021,105583,Nucleoside Metabolic Inhibitor [EPC],Chemo Cream
FLUOROURACIL CRE 5%,51672-4118-06,CREA,5%,TARO ,14.97,384.94,,11/18/2024 0:00,5/31/2023,105583,Nucleoside Metabolic Inhibitor [EPC],Chemo Cream
DIFLORASONE  CRE 0.05%,51672-1296-03,CREA,0.05%,TARO ,228,838.71,,11/23/2024 0:00,11/13/2024,966577,Corticosteroid [EPC],High Potency Topical Steroid
VALACYCLOVIR TAB 1GM,57237-0043-30,TABS,1GM,RISING,13.99,379.26,,10/1/2024 0:00,3/10/2021,313564,Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC],Antiviral
FLUOCINONIDE CRE 0.05%,51862-0494-60,CREA,0.05%,MAYNE PHAR,9.99,182.19,,9/14/2023 0:00,11/6/2023,103456,expired,High Potency Topical Steroid
DOXYCYC MONO CAP 75MG,51862-0041-01,CAPS,75MG,MAYNE PHAR,19.99,1691.98,,2/1/2022 0:00,12/10/2021,700408,expired,ABX Orals
DOXYCYC MONO CAP 75MG,51862-0041-01,CAPS,75MG,MAYNE PHAR,19.99,1691.98,,2/1/2022 0:00,12/10/2021,700408,expired,ABX Orals
FLUOCINONIDE CRE 0.1%,52565-0079-11,CREA,0.10%,TELIGENT,17.65,2335.56,,1/31/2022 0:00,12/7/2021,485647,expired,Steroids
GENTAMICIN   OIN 0.1%,52565-0090-30,OINT,0.10%,TELIGENT,5.99,98.75,,10/17/2022 0:00,12/17/2021,310465,expired,Biopsy Topical ABX
DOXYCYCL HYC TAB 50MG,72143-0211-60,TABS,50MG,JG PHARMA,429,792,,0:00:00,10/18/2021,1652674,Tetracycline-class Drug [EPC],ABX Orals
HYDROCORTISO LOT 0.1%,52565-0087-02,LOTN,0.10%,TELIGENT,29.99,482.5,,4/18/2022 0:00,2/18/2022,1370763,expired,Steroids
HALOBETASOL  OIN 0.05%,70512-0033-50,OINT,0.05%,SOLA PHARM,25,292.07,,3/3/2022 0:00,3/8/2021,977978,expired,High Potency Topical Steroid
KETOCONAZOLE AER 2%,45802-0532-33,FOAM,2%,PERRIGO,239.98,828.99,,10/9/2024 0:00,8/29/2024,728550,Azole Antifungal [EPC],Anti-fungal
MINOCYCLINE  CAP 100MG,57664-0853-85,CAPS,100MG,SUN PHARMA,12.46,169.87,,7/18/2024 0:00,8/20/2021,197984,Tetracycline-class Drug [EPC],ABX ORALS
KETOCONAZOLE CRE 2%,51672-1298-03,CREA,2%,TARO ,18.75,276.96,,1/20/2023 0:00,5/5/2022,203088,Azole Antifungal [EPC],Anti-fungal
DOXYCYCLINE  TAB 75MG,60505-4382-06,TABS,75MG,APOTEX,78,1871.64,,9/2/2022 0:00,8/29/2024,1649425,Tetracycline-class Drug [EPC],ABX ORALS
DOXYCYC MONO CAP 50MG,68382-0782-01,CAPS,50MG,ZYDUS PHAR,7.16,145.1,,11/20/2024 0:00,8/29/2024,1649401,Tetracycline-class Drug [EPC],ABX ORALS
EPINEPHRINE  INJ 0.3MG,00115-1694-49,SOAJ,0.3MG,AMNEAL,242,494.01,,6/7/2021 0:00,6/7/2021,1870230,Catecholamine [EPC],Emergency Treatment
ABSORICA     CAP 30MG,10631-0117-31,CAPS,30MG,RANBAXY,1182,1441.33,,0:00:00,4/14/2021,1300014,Retinoid [EPC],Retinoids: Exfoliant
MYORISAN     CAP 30MG,61748-0303-13,CAPS,30MG,AKORN,68.7,370,,3/10/2023 0:00,4/26/2022,1663728,expired,Accutane
VITREXYL     TAB,59088-0164-54,TABS,,PURE TEK,0,2100,,3/29/2021 0:00,3/4/2021,2395510,Blood Coagulation Factor [EPC],Other
METRONIDAZOL GEL 1%,51672-4215-09,GEL,1%,TARO ,19.99,277.26,,11/23/2024 0:00,8/30/2024,577237,Nitroimidazole Antimicrobial [EPC],Rosacea Topical ABX
CLOTRIM/BETA LOT DIPROP,00168-0370-30,LOTN,DIPROP,FOUGERA,0,148.56,,4/30/2021 0:00,3/4/2021,308715,expired,Scalp (topical steroids)
VITREXATE    TAB,59088-0167-54,TABS,,PURE TEK,525,2250,,3/24/2021 0:00,3/26/2021,2395510,Blood Coagulation Factor [EPC],Antineoplastic
CALCIPOTRIEN CRE 0.005%,66993-0877-78,CREA,0.01%,PRASCO LAB,0,810.21,,5/1/2021 0:00,3/4/2021,313921,Vitamin D Analog [EPC],Keratolytic
CALCIPOTRIEN CRE 0.005%,66993-0877-61,CREA,0.01%,PRASCO LAB,0,423.69,,0:00:00,10/15/2024,313921,Vitamin D Analog [EPC],Keratolytic
TACROLIMUS   OIN 0.03%,45802-0390-00,OINT,0.03%,PERRIGO,20.35,162.52,,11/23/2024 0:00,8/29/2024,313189,Calcineurin Inhibitor Immunosuppressant [EPC],Non-Ster Anti-Inflam
METRONIDAZOL GEL 0.75%,51672-4116-06,GEL,0.75%,TARO ,7.83,319.38,,11/23/2024 0:00,8/29/2024,311679,Nitroimidazole Antimicrobial [EPC],Rosacea Topical ABX
FLURANDRENOL LOT 0.05%,24470-0921-12,LOTN,0.05%,CINTEX,99,990.36,,0:00:00,3/19/2021,197719,expired,Scalp (topical steroids)
OXICONAZOLE  CRE NITRATE,51672-1359-08,CREA,NITRATE,TARO ,208.6,935.19,,11/22/2024 0:00,12/7/2022,312139,Azole Antifungal [EPC],Anti-fungal
compound,00000-0001-00,,,,20,143,,12/16/2022 0:00,9/26/2022,,expired,Other
CLOBETASOL   AER 0.05%,45802-0437-33,FOAM,0.05%,PERRIGO,23.33,247.5,,10/4/2024 0:00,8/29/2024,861353,Corticosteroid [EPC],Scalp (topical steroids)
VENEXA       TAB,59088-0176-54,TABS,,PURE TEK,550,1930,,6/25/2021 0:00,3/6/2021,2475946,Blood Coagulation Factor [EPC],Contraceptive
DOXYCYCLINE  TAB 150MG,60505-4384-06,TABS,150MG,APOTEX,55.93,1871.64,,11/17/2023 0:00,6/25/2021,1650446,Tetracycline-class Drug [EPC],ABX ORALS
BETAMETH DIP LOT 0.05%,00168-0057-60,LOTN,0.05%,SANDOZ,9.44,47.99,,11/21/2024 0:00,8/29/2024,240209,Corticosteroid [EPC],Steroids
IMPEKLO      LOT 0.05%,49502-0537-35,LOTN,0.05%,MYLAN SPEC,39.99,600.12,,0:00:00,5/19/2022,2462149,expired,Medium Potency Topical Steroid
HC BUTYRATE  CRE 0.1%,68682-0270-45,CREA,0.10%,OCEANSIDE,53,180.86,,0:00:00,3/10/2021,1370770,expired,Medium Potency Topical Steroid
DOXEPIN HCL  CRE 5%,00378-8117-45,CREA,5%,MYLAN,223.95,722.32,,11/18/2024 0:00,10/15/2024,1000091,Tricyclic Antidepressant [EPC],Tricyclic Antidepressant
DOXEPIN HCL  CRE 5%,00378-8117-45,CREA,5%,MYLAN,223.95,722.32,,11/18/2024 0:00,10/15/2024,1000091,Tricyclic Antidepressant [EPC],Tricyclic Antidepressant
SUMAT-NAPROX TAB 85-500MG,65862-0928-36,TABS,85-500MG,AUROBINDO,99,900.91,,0:00:00,3/11/2021,849450,Nonsteroidal Anti-inflammatory Drug [EPC],Steroids
HC BUTYRATE  CRE 0.1%,68682-0384-60,CREA,0.10%,OCEANSIDE,0,512.57,,0:00:00,3/11/2021,1370770,Corticosteroid [EPC],Steroids
TAVABOROLE   SOL 5%,72763-0201-10,SOLN,5%,ESTRENO PH,670,1541.07,,0:00:00,3/12/2021,1543177,expired,Anti-fungal
METRONIDAZOL CRE 0.75%,00713-0633-37,CREA,0.75%,COSETTE PH,25.41,549.87,,0:00:00,3/12/2021,311678,Nitroimidazole Antimicrobial [EPC],Rosacea Topical ABX
FLUOCINONIDE CRE 0.1%,68462-0505-65,CREA,0.10%,GLENMARK,24,1229.23,,0:00:00,11/9/2022,485647,Corticosteroid [EPC],Steroids
CALCIPOTRIEN OIN BETAMETH,45802-0816-96,OINT,BETAMETH,PERRIGO,177.8,788.94,,0:00:00,3/12/2021,388525,Corticosteroid [EPC],Steroids
CALCIPOTRIEN OIN BETAMETH,45802-0816-96,OINT,BETAMETH,PERRIGO,177.8,788.94,,0:00:00,3/12/2021,388525,Corticosteroid [EPC],Steroids
ACNE MEDICAT LOT 5%,00536-1057-75,LOTN,5%,RUGBY LABO,1.08,3.02,,0:00:00,3/12/2021,106309,unknown,Acne Topical ABX
ACNE MEDICAT LOT 10%,00536-1058-75,LOTN,10%,RUGBY LABO,2.08,3.45,,3/29/2021 0:00,3/12/2021,106310,unknown,Acne Topical ABX
DICLOFENAC   DIS 1.3%,59762-0707-02,PTCH,1.30%,GREENSTONE,133.65,402.8,,0:00:00,3/12/2021,855626,expired,NSAID
DICLOFENAC   GEL 1%,21922-0009-09,GEL,1%,ENCUBE ETH,4.25,58.35,,0:00:00,1/26/2022,855633,Nonsteroidal Anti-inflammatory Drug [EPC],Steroids
DIFLORASONE  OIN 0.05%,51672-1295-03,OINT,0.05%,TARO ,65,838.71,,11/21/2024 0:00,8/29/2024,966607,Corticosteroid [EPC],High Potency Topical Steroid
CLOBETASOL   CRE 0.05%,52565-0051-60,CREA,0.05%,TELIGENT,3.75,458.96,,0:00:00,3/15/2021,861495,expired,High Potency Topical Steroid
CLOBETASOL   CRE 0.05%,52565-0051-60,CREA,0.05%,TELIGENT,3.75,458.96,,0:00:00,3/15/2021,861495,expired,High Potency Topical Steroid
DOXYCYCL HYC TAB 100MG,62135-0626-50,TABS,100MG,CHARTWELL,3.65,307.35,,3/16/2021 0:00,3/16/2021,1650143,Tetracycline-class Drug [EPC],ABX Orals
ADAPAL/BEN P GEL 0.1-2.5%,68462-0301-47,GEL,0.1-2.5%,GLENMARK,13.6,444.97,,2/12/2024 0:00,9/9/2021,829539,Retinoid [EPC],Retinoids: Exfoliant
AZELAIC ACID GEL 15%,68462-0626-52,GEL,15%,GLENMARK,21.99,372.66,,0:00:00,6/4/2024,1041518,Decreased Protein Synthesis [PE],Retinoids: Exfoliant
DESOXIMETAS  OIN 0.25%,52565-0030-60,OINT,0.25%,TELIGENT,6.46,352.83,,0:00:00,3/16/2021,197575,expired,Low Potency Topical Steroid
DESOXIMETAS  OIN 0.05%,52565-0045-99,OINT,0.05%,TELIGENT,75,611.97,,0:00:00,3/16/2021,141850,expired,Medium Potency Topical Steroid
PIMECROLIMUS CRE 1%,68462-0609-65,CREA,1%,GLENMARK,87.5,643.25,,9/16/2024 0:00,6/4/2024,562806,Calcineurin Inhibitor Immunosuppressant [EPC],Non-Ster Anti-Inflam
TACROLIMUS   OIN 0.1%,68462-0534-65,OINT,0.10%,GLENMARK,83.5,520.9,,3/30/2021 0:00,3/16/2021,314266,Calcineurin Inhibitor Immunosuppressant [EPC],Non-Ster Anti-Inflam
GENTAMICIN   CRE 0.1%,45802-0056-11,CREA,0.10%,PERRIGO,10.8,98.75,,11/22/2024 0:00,10/16/2024,197735,Aminoglycoside Antibacterial [EPC],Biopsy Topical ABX
TRIAMCINOLON OIN 0.05%,74157-0901-90,OINT,0.05%,INA PHARMA,165,933.33,,0:00:00,6/17/2021,1090641,expired,Scalp Topical Steroids
TRIAMCINOLON OIN 0.05%,24470-0922-15,OINT,0.05%,CINTEX,130,974.15,,0:00:00,4/18/2022,1090641,Corticosteroid [EPC],Steroids
VENNGEL ONE  KIT 1%,59088-0709-00,KIT,1%,PURE TEK,0,3400,,0:00:00,3/17/2021,855633,unknown,Antifungal
TRILOCICLO   KIT 0.1-8%,59088-0770-00,KIT,0.1-8%,PURE TEK,0,3450,,0:00:00,3/17/2021,2472646,expired,Acne Treatment
LACTEROL     CAP,59088-0179-54,CAPS,,PURE TEK,499,1962,,0:00:00,8/23/2021,2530677,expired,Supplement
HYLAGUARD    CRE,60003-0564-90,CREA,,LACER PHAR,0,1297.23,,0:00:00,3/17/2021,2118852,expired,Moisturizer
ATOPAVO      EMU,60003-0521-20,EMUL,,ONPACE PHA,0,975,,0:00:00,3/17/2021,2389947,expired,Anti-inflammator
ATOPADERM    CRE,72057-0001-01,CREA,,ONPACE PHA,496,1755.5,,0:00:00,3/17/2021,2044151,expired,Moisturizer
ENZOCLEAR    AER 9.8%,73159-0001-01,FOAM,9.80%,LACER PHAR,0,1695.45,,0:00:00,3/17/2021,2180350,expired,Keratolytic
PNV TAB 20-1 TAB,71741-0091-30,TABS,,REDMONT,0,1383.9,,0:00:00,3/17/2021,2476274,expired,Contraceptive
TAZAROTENE   CRE 0.1%,00713-0670-31,CREA,0.10%,COSETTE PH,32.89,390.05,,11/20/2024 0:00,8/29/2024,313200,Retinoid [EPC],Retinoids: Exfoliant
CICLOPIROX   SOL 8%,50383-0419-06,SOLN,8%,HI-TECH,6,60.18,,0:00:00,3/17/2021,309291,expired,Anti-fungal (Nail)
FLURANDRENOL LOT 0.05%,51672-5298-08,LOTN,0.05%,TARO ,61,990.36,,6/29/2022 0:00,7/6/2021,197719,expired,Scalp (topical steroids)
GENTAMICIN   CRE 0.1%,52565-0085-30,CREA,0.10%,TELIGENT,15.5,98.75,,0:00:00,3/22/2021,197735,expired,Biopsy Topical ABX
CLINDAMY/BEN GEL 1-5%,45802-0507-04,GEL,1-5%,PERRIGO,12.31,156,,10/10/2022 0:00,11/8/2023,358917,unknown,Acne Topical ABX
LIDOCAINE    PAD 5%,00591-3525-30,PTCH,5%,,42.99,280.81,,0:00:00,3/22/2021,1745091,Amide Local Anesthetic [EPC],Pain Relief
LIDOCAINE    PAD 5%,00591-3525-30,PTCH,5%,,42.99,280.81,,0:00:00,3/22/2021,1745091,Amide Local Anesthetic [EPC],Pain Relief
LIDOCAINE    PAD 5%,00591-3525-30,PTCH,5%,,42.99,280.81,,0:00:00,3/22/2021,1745091,Amide Local Anesthetic [EPC],Pain Relief
NAPROXEN     SUS 125/5ML,71297-0200-16,SUSP,125/5ML,,199.99,1131.6,,12/27/2021 0:00,5/27/2021,311913,expired,Anti-inflammatory
CHLORZOXAZON TAB 250MG,69499-0330-60,TABS,250MG,,420,1493,,0:00:00,3/22/2021,197501,Muscle Relaxant [EPC],Muscle Relaxant
CYCLOBENZAPR TAB 7.5MG,71800-0003-01,TABS,7.5MG,INNOVIDA P,375,6268.5,,0:00:00,3/22/2021,828299,expired,Muscle Relaxant
DICLOFENAC   SOL 1.5%,70512-0025-05,SOLN,1.50%,SOLA PHARM,56,1460.25,,0:00:00,3/22/2021,857700,expired,NSAID
DOXYCYCL HYC TAB 75MG DR,68308-0775-60,TBEC,75MG DR,MAYNE PHAR,18,613.45,,0:00:00,3/22/2021,406524,expired,ABX Orals
DOXYCYCL HYC TAB 150MG DR,68308-0715-10,TBEC,150MG DR,MAYNE PHAR,12,1759.94,,0:00:00,3/22/2021,799048,expired,ABX Orals
KETOCONAZOLE AER 2%,45802-0532-32,FOAM,2%,PERRIGO,155,708.36,,4/7/2021 0:00,3/22/2021,728550,Azole Antifungal [EPC],Anti-fungal
MINOCYCLINE  TAB 55MG ER,67877-0436-30,TB24,55MG ER,,45,1170.3,,0:00:00,3/22/2021,1013662,Tetracycline-class Drug [EPC],ABX Orals
MINOCYCLINE  TAB 135MG ER,67877-0577-30,TB24,135MG ER,,49,722.3,,0:00:00,3/22/2021,629695,Tetracycline-class Drug [EPC],ABX Orals
MINOCYCLINE  TAB 65MG ER,67877-0643-30,TB24,65MG ER,,45,1170.3,,0:00:00,3/22/2021,858372,Tetracycline-class Drug [EPC],ABX Orals
MINOCYCLINE  TAB 45MG ER,67877-0578-30,TB24,45MG ER,,45,722.3,,0:00:00,3/22/2021,629697,Tetracycline-class Drug [EPC],ABX Orals
FLURANDRENOL OIN 0.05%,52565-0017-60,OINT,0.05%,TELIGENT,118,627.6,,4/29/2021 0:00,3/23/2021,197720,expired,Medium Potency Topical Steroid (Flurandrenol)
MINOCYCLINE  TAB 105MG ER,00378-4294-93,TB24,105MG ER,MYLAN,0,1315.17,,6/22/2021 0:00,3/23/2021,1013659,expired,Antibiotic
IMIQUIMOD    CRE 5%,51672-4145-06,CREA,5%,TARO ,11.51,250,,9/24/2024 0:00,8/29/2024,310982,Interferon Inducers [MoA],Chemo Cream
ADAPAL/BEN P GEL 0.1-2.5%,45802-0846-01,GEL,0.1-2.5%,PERRIGO,10.99,120,,10/22/2024 0:00,11/10/2022,829539,Retinoid [EPC],Retinoids: Exfoliant
DESONIDE     LOT 0.05%,00472-0803-02,LOTN,0.05%,ACTAV MID,11.59,296.1,,11/20/2024 0:00,8/29/2024,197572,Corticosteroid [EPC],Scalp (topical steroids)
CICASIL      MIS GEL-PAD,63347-0170-01,SHEE,GEL-PAD,,1600,3996,,0:00:00,3/24/2021,1146653,expired,Wound Care
CALCIP/BETAM SUS,51672-1402-08,SUSP,,TARO ,109.99,2003.9,,0:00:00,7/19/2023,833461,Corticosteroid [EPC],Steroids
DAPSONE      GEL 5%,51672-1387-03,GEL,5%,TARO ,78.47,603.12,,9/5/2024 0:00,6/12/2024,607295,Sulfone [EPC],Acne Topical ABX
DAPSONE      GEL 7.5%,51672-5307-03,GEL,7.50%,TARO ,249.75,674.56,,0:00:00,8/25/2021,1741905,expired,Acne Topical ABX
DAPSONE      GEL 7.5%,51672-5307-03,GEL,7.50%,TARO ,249.75,674.56,,0:00:00,8/25/2021,1741905,expired,Acne Topical ABX
DAPSONE      GEL 7.5%,51672-5307-03,GEL,7.50%,TARO ,249.75,674.56,,0:00:00,8/25/2021,1741905,expired,Acne Topical ABX
DAPSONE      GEL 7.5%,51672-5307-03,GEL,7.50%,TARO ,249.75,674.56,,0:00:00,8/25/2021,1741905,expired,Acne Topical ABX
NAPROX-ESOM  TAB 500-20MG,70748-0216-07,TBEC,500-20MG,LUPIN PHAR,594.97,2680.78,,0:00:00,3/26/2021,994008,expired,NSAID
NAPROX-ESOM  TAB 500-20MG,70748-0216-07,TBEC,500-20MG,LUPIN PHAR,594.97,2680.78,,0:00:00,3/26/2021,994008,expired,NSAID
NAPROX-ESOM  TAB 375-20MG,70748-0215-07,TBEC,375-20MG,LUPIN PHAR,432.41,2680.78,,0:00:00,1/26/2022,994005,expired,NSAID
LIDOCORT     CRE 3-0.5%,59088-0430-05,CREA,3-0.5%,PURE TEK,105,574,,2/6/2024 0:00,6/15/2021,1012235,Amide Local Anesthetic [EPC],Medium Potency Topical Steroid
PRENATRYL    TAB,59088-0169-54,TABS,,PURE TEK,525,2250,,0:00:00,3/26/2021,2467122,Blood Coagulation Factor [EPC],Contraceptive
PROBITROL    CAP,59088-0175-54,CAPS,,PURE TEK,500,2180,,0:00:00,3/26/2021,2472549,expired,Other
PROMEROL     CAP,59088-0174-57,CAPS,,PURE TEK,900,3920,,0:00:00,3/26/2021,2472550,expired,Other
VITREXATE FE TAB,59088-0168-54,TABS,,PURE TEK,525,2250,,0:00:00,3/26/2021,2467088,Blood Coagulation Factor [EPC],Iron Supplement
NAPROXEN SOD TAB 550MG,50228-0433-05,TABS,550MG,SCIEGEN PH,0,1782.67,,0:00:00,3/26/2021,849431,Nonsteroidal Anti-inflammatory Drug [EPC],Steroids
SILADERM     MIS,72275-0151-04,SHEE,,PRIMARY PH,0,4477.49,,0:00:00,3/31/2021,1125763,expired,Moisturizer
MINOCYCLINE  TAB 135MG ER,42546-0777-30,TB24,135MG ER,PRUGEN,0,605.01,,4/1/2021 0:00,4/1/2021,629695,Tetracycline-class Drug [EPC],ABX Orals
PRODIGEN     CAP,69336-0402-30,CAPS,,STERLING K,515,1380,,4/1/2021 0:00,4/1/2021,2043695,expired,Other
SILDENAFIL   TAB 100MG,65862-0691-30,TABS,100MG,AUROBINDO,4,1993.92,,0:00:00,4/6/2021,314229,Phosphodiesterase 5 Inhibitor [EPC],Other
TADALAFIL    TAB 10MG,16729-0371-10,TABS,10MG,ACCORD HEA,2,2164.08,,0:00:00,4/6/2021,484814,Phosphodiesterase 5 Inhibitor [EPC],Other
